window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.943681771614459,2.19163189739873,9.374814510325029
2,3,9,2020-03-08,4.484921233622778,2.3143767752761795,7.975775567718889
3,4,10,2020-03-09,3.64447659373765,1.8608381709390007,6.005770202466534
4,5,11,2020-03-10,2.5356219049487927,1.416970759756651,4.126563421938937
5,6,12,2020-03-11,2.6581342581249743,1.661278644072852,3.927464326127123
6,7,13,2020-03-12,2.700553991448121,1.866832578451125,3.7813607653582855
7,8,14,2020-03-13,3.021617558556194,2.1273765558650855,4.237062666954237
8,9,15,2020-03-14,3.4777507580397304,2.365582358285242,4.800345465480532
9,10,16,2020-03-15,3.736714845291875,2.469163987992713,5.422316889580768
10,11,17,2020-03-16,3.5968188126641945,2.300782437945926,5.014729464708461
11,12,18,2020-03-17,3.588888672325343,2.2870747085936105,5.2114566701361955
12,13,19,2020-03-18,3.6410136651864953,2.4437190125455954,5.286495671086054
13,14,20,2020-03-19,3.1189924026412,2.0378525052820744,4.550043797481631
14,15,21,2020-03-20,2.9441635412621245,2.0118233135676937,3.9696093055996315
15,16,22,2020-03-21,2.6979042859956426,1.8875090958104754,3.644200755498337
16,17,23,2020-03-22,2.5030723290131034,1.8925730112728463,3.3338417618031646
17,18,24,2020-03-23,2.5102987268560653,1.874599511586016,3.2903926401466337
18,19,25,2020-03-24,2.198449252882414,1.6770468983281321,2.8195467386550677
19,20,26,2020-03-25,2.177900084879865,1.6986997305082088,2.7874723789296687
20,21,27,2020-03-26,2.1042027704699344,1.701208825824797,2.5799176991055486
21,22,28,2020-03-27,2.0651594028466436,1.688870235668764,2.5431669155747745
22,23,29,2020-03-28,2.0505968899048708,1.647620835758827,2.4725959104174766
23,24,30,2020-03-29,1.9449439488538323,1.570303103554834,2.327434778861042
24,25,31,2020-03-30,1.6297073060067995,1.343554075427529,1.9651346999083774
25,26,32,2020-03-31,1.6592112909964518,1.4210326028252078,1.9273653274909293
26,27,33,2020-04-01,1.5201843851477872,1.3340104952254326,1.7303108549763833
27,28,34,2020-04-02,1.4252365089202375,1.2595557521597491,1.6116991505758675
28,29,35,2020-04-03,1.3267453805360319,1.199548127129776,1.464567910892108
29,30,36,2020-04-04,1.1742113526848346,1.074124328919952,1.2745979563002816
30,31,37,2020-04-05,1.1019831047210724,1.0313179680680087,1.1720722510505222
31,32,38,2020-04-06,1.0640847853645554,1.0116187993698436,1.1216669750286288
32,33,39,2020-04-07,0.9812323830181471,0.9413802421056384,1.0239528399826587
33,34,40,2020-04-08,0.9496667559242773,0.9092444793538804,0.9885477277098628
34,35,41,2020-04-09,0.9573461897028507,0.9180362426954689,1.0014897353542218
35,36,42,2020-04-10,1.0959736486648133,1.053412018859549,1.1395689491179615
36,37,43,2020-04-11,1.0696304967375165,1.0398745999424237,1.1022426223786728
37,38,44,2020-04-12,1.0266148725075799,0.9963298294882642,1.0580847766707455
38,39,45,2020-04-13,0.9956579167505011,0.9674466057838024,1.024273235148754
39,40,46,2020-04-14,0.9536475160133704,0.9256698721157723,0.9813116098940089
40,41,47,2020-04-15,0.9451187519515376,0.9183382486434124,0.9718468427103187
41,42,48,2020-04-16,0.9406276105412543,0.9115176244862716,0.9735424517776216
42,43,49,2020-04-17,0.6913906315596353,0.665445958398883,0.7196384101290464
43,44,50,2020-04-18,0.742441173251122,0.6990768907319989,0.7896828156137604
44,45,51,2020-04-19,0.7673598047669159,0.7084025981078451,0.8323181256614318
45,46,52,2020-04-20,0.881321627414958,0.8097418428341054,0.9597945765945582
46,47,53,2020-04-21,0.9205795887079892,0.8625496350362218,0.9804071965998757
47,48,54,2020-04-22,0.9393271733854824,0.8947155096052896,0.9852848353278596
