window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.964770121774924,2.361020417554938,9.073567716585611
2,3,9,2020-03-08,4.5185768242615705,2.3465689390814988,8.135410958840128
3,4,10,2020-03-09,3.615846374979625,1.8989315650787335,6.156998886096794
4,5,11,2020-03-10,2.4586186103950913,1.3825165541252227,3.9738556656270254
5,6,12,2020-03-11,2.6514737413961162,1.6683306816153367,3.899536381595787
6,7,13,2020-03-12,2.728144938086977,1.8963949544799243,3.7735650484255054
7,8,14,2020-03-13,3.0497952420103784,2.2038886034499505,4.194376031880758
8,9,15,2020-03-14,3.5088299131112084,2.413132491924328,4.832958652848739
9,10,16,2020-03-15,3.7323116055054077,2.43792498261398,5.28650352895433
10,11,17,2020-03-16,3.6210109477887413,2.405654693313861,5.173619802416195
11,12,18,2020-03-17,3.576524544542016,2.377291113644801,5.277182516475527
12,13,19,2020-03-18,3.666907440187699,2.4685487772091568,5.201123002737811
13,14,20,2020-03-19,3.146717532041656,2.0548125450079517,4.572991646838285
14,15,21,2020-03-20,2.9030551244230756,1.9718876001220205,4.021607341980884
15,16,22,2020-03-21,2.652690288754441,1.9030359988927399,3.6779105246081216
16,17,23,2020-03-22,2.49156722505765,1.8701819758685294,3.3323498806613054
17,18,24,2020-03-23,2.5177672593134233,1.9351706188887146,3.2968378624391996
18,19,25,2020-03-24,2.207947077118157,1.670180923528355,2.805542643208263
19,20,26,2020-03-25,2.1941845192694798,1.7164267812261147,2.764384139933535
20,21,27,2020-03-26,2.1161371460314844,1.6979361882345207,2.5813552427834714
21,22,28,2020-03-27,2.070060432873041,1.677571339256178,2.5101107714912065
22,23,29,2020-03-28,2.0790452762434404,1.6885888800332465,2.510583357755072
23,24,30,2020-03-29,1.9351187938645549,1.5465938203184098,2.361869952106005
24,25,31,2020-03-30,1.639628239943727,1.3581597457583097,1.9668124698745724
