window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.98742510193958,2.3194294566038702,9.466070742260218
2,3,9,2020-03-08,4.4923506739015755,2.298039783686547,7.728120956260296
3,4,10,2020-03-09,3.649870979596418,1.9439402408257074,6.078665615911801
4,5,11,2020-03-10,2.510231497039321,1.376490235145837,4.15031290764199
5,6,12,2020-03-11,2.6361957512628615,1.675235252456878,3.772025797148877
6,7,13,2020-03-12,2.7448524550186906,1.8611064309218996,3.8892716359336834
7,8,14,2020-03-13,3.0555550519191463,2.138444146594856,4.191273803479268
8,9,15,2020-03-14,3.505200507096786,2.457727269794085,4.813433916498528
9,10,16,2020-03-15,3.6505778605408556,2.4091644854476355,5.153535149266915
10,11,17,2020-03-16,3.607100292629179,2.3398620083488884,5.226286371734538
11,12,18,2020-03-17,3.54543837059171,2.368563628383125,5.119704728725204
12,13,19,2020-03-18,3.62677172617203,2.323164256985283,5.181300284284955
13,14,20,2020-03-19,3.126361124952946,2.026053829399853,4.445137809041239
14,15,21,2020-03-20,2.9223062121869114,1.9901168595408354,4.058567176647493
15,16,22,2020-03-21,2.6750777038722293,1.9334783017392814,3.6567345519160535
16,17,23,2020-03-22,2.491111645962607,1.8481848776273082,3.348314516993375
17,18,24,2020-03-23,2.5023566705679574,1.851686481968049,3.3100114911853633
18,19,25,2020-03-24,2.201467717222802,1.6832910487220234,2.8442718632877324
19,20,26,2020-03-25,2.182861349757957,1.6996990514053336,2.759938631641767
20,21,27,2020-03-26,2.1282379341566386,1.6821921617273914,2.6234265824587495
21,22,28,2020-03-27,2.061620998486495,1.6777318192125954,2.538433458280876
22,23,29,2020-03-28,2.0510821414758755,1.685222885066785,2.5212950802513596
23,24,30,2020-03-29,1.9416504266052341,1.6003824822354022,2.3459308840462803
24,25,31,2020-03-30,1.6362505455860474,1.3349289465060639,1.9834539827016076
25,26,32,2020-03-31,1.6608096769319987,1.4084842511412208,1.9370019495399333
26,27,33,2020-04-01,1.5274268694660307,1.3122181354137865,1.7322253454658876
27,28,34,2020-04-02,1.42527261142051,1.2607771639010779,1.5924510139525874
28,29,35,2020-04-03,1.3248523032134356,1.1905580023220081,1.4661223994321184
29,30,36,2020-04-04,1.1690081873726699,1.0779672089984942,1.2797948669198809
30,31,37,2020-04-05,1.1016360381665202,1.0339460732345962,1.17554006680261
31,32,38,2020-04-06,1.064930380341683,1.0137120550681242,1.1202871306392113
32,33,39,2020-04-07,0.9778666122521568,0.9383472260255418,1.018737892345489
33,34,40,2020-04-08,0.9491380716748123,0.9117906491025194,0.9864465850995702
34,35,41,2020-04-09,0.9574014381102541,0.9192675362636825,0.9973768371647904
35,36,42,2020-04-10,1.0959652772653394,1.0504854557563388,1.1369707455597755
36,37,43,2020-04-11,1.0711240052441202,1.041061440784495,1.1028365323292857
37,38,44,2020-04-12,1.0272241848296306,0.9962547351775476,1.0562370582807235
38,39,45,2020-04-13,0.9959416241527236,0.9665704329657427,1.0268186697788917
39,40,46,2020-04-14,0.9540703075343699,0.9273967146432954,0.9826851039118213
40,41,47,2020-04-15,0.9454930687660021,0.9205353417378811,0.9727632618879397
41,42,48,2020-04-16,0.9399076947868535,0.9073113682405827,0.9721597178532274
42,43,49,2020-04-17,0.6908043702151108,0.6646244956542208,0.7155245948717408
43,44,50,2020-04-18,0.7428966878997796,0.6987761974875201,0.7880556207091061
44,45,51,2020-04-19,0.7678605152053279,0.7085752979829049,0.8306009955905828
45,46,52,2020-04-20,0.8825435063782663,0.8109309010187286,0.955939295093428
46,47,53,2020-04-21,0.9229230990138506,0.8622599647227094,0.9841004843918696
47,48,54,2020-04-22,0.9393798382826368,0.8932027907972484,0.9821232221681779
48,49,55,2020-04-23,0.8632450679585992,0.8270479370371693,0.8998148834232987
49,50,56,2020-04-24,0.9493535962886422,0.9119070682126222,0.9875345116688613
50,51,57,2020-04-25,0.9520247975893648,0.9187155003529492,0.9886917653471604
51,52,58,2020-04-26,0.9494917595841501,0.9143883991290185,0.9880043728406742
52,53,59,2020-04-27,0.8327721086871652,0.8021292110322561,0.8629677779076755
53,54,60,2020-04-28,0.7878362579341232,0.7518076470145952,0.8236201233200091
54,55,61,2020-04-29,0.700607827589034,0.6640613813714696,0.7419818627182916
55,56,62,2020-04-30,0.789515538722187,0.7315645281834834,0.855481916984367
56,57,63,2020-05-01,0.6969317418678143,0.6422697972885605,0.7528743703817389
57,58,64,2020-05-02,0.5876622355101656,0.5374503939389061,0.6387179216981255
58,59,65,2020-05-03,0.5015721740798973,0.44911053017203806,0.5562327798891767
59,60,66,2020-05-04,0.5841088316533796,0.5080898206842455,0.6619655861779684
60,61,67,2020-05-05,0.8076565845483585,0.7038545474344657,0.9263257508638948
61,62,68,2020-05-06,1.0460392660274371,0.9382990667159933,1.170064211442921
62,63,69,2020-05-07,1.0879699636065316,0.9903110987940155,1.178370394828724
63,64,70,2020-05-08,1.1614028215731103,1.061978471068405,1.2515749020353255
64,65,71,2020-05-09,1.1570057376706258,1.0654030704894795,1.251367778403513
65,66,72,2020-05-10,1.1319983396139606,1.043134067767012,1.2210583842957439
66,67,73,2020-05-11,1.0896969391578035,1.0206825940299786,1.175307448022646
67,68,74,2020-05-12,0.8693038235050967,0.8209447969046954,0.9170902452816881
68,69,75,2020-05-13,0.7116283295533137,0.6761771706256842,0.750434269043951
69,70,76,2020-05-14,0.6004778205187915,0.560719418595812,0.6479706734217378
70,71,77,2020-05-15,0.6839638882053536,0.609877807762301,0.7601767250995082
