window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,5.11641917512299,2.2312677109388677,9.208790968506651
2,3,9,2020-03-08,4.581453192420222,2.3202648838342492,7.773154051586888
3,4,10,2020-03-09,3.617670076093364,2.021933018130151,6.399190977436116
4,5,11,2020-03-10,2.502716467470884,1.4371151137453708,4.004878400982905
5,6,12,2020-03-11,2.637064704901518,1.7320956387176232,3.877191552079272
6,7,13,2020-03-12,2.6988404094925924,1.8355830101928696,3.741758042132417
7,8,14,2020-03-13,3.026755177851497,2.1333859961950856,4.062318154925753
8,9,15,2020-03-14,3.4439558704042788,2.422286630558092,4.809203304154136
9,10,16,2020-03-15,3.700196080875375,2.5876614082414218,5.29184938509635
10,11,17,2020-03-16,3.6034164314791073,2.373238029067208,5.134015804733269
11,12,18,2020-03-17,3.5599947439791673,2.3847413549584173,5.196381323737515
12,13,19,2020-03-18,3.592846549708961,2.396187029841797,5.284101239969357
13,14,20,2020-03-19,3.1371324793733595,2.044955205114861,4.557708391869362
14,15,21,2020-03-20,2.9248366369125147,1.9997213590333536,4.010950346360749
15,16,22,2020-03-21,2.664912790185413,1.8787323904727418,3.6245690900372054
16,17,23,2020-03-22,2.5157692455863527,1.8566600709554792,3.301992233489113
17,18,24,2020-03-23,2.5241334180212327,1.8676882276969236,3.3572176128441558
18,19,25,2020-03-24,2.2357338332022882,1.67822792292878,2.8108685222985526
19,20,26,2020-03-25,2.1679266062226357,1.6781041595227673,2.6723337988258793
20,21,27,2020-03-26,2.109167443134589,1.6660169119029309,2.6269674928233657
21,22,28,2020-03-27,2.051747733008371,1.6615572405722174,2.52237637385231
22,23,29,2020-03-28,2.063784537215253,1.7035872023363536,2.4888705911236357
23,24,30,2020-03-29,1.9385094136415126,1.5917181821830868,2.3377445216572643
24,25,31,2020-03-30,1.6370326097645123,1.3507343626096797,1.94751091022041
25,26,32,2020-03-31,1.6569591373426318,1.4107775586785851,1.9321195409683358
26,27,33,2020-04-01,1.5202399654240675,1.3277109507029417,1.725134640268651
27,28,34,2020-04-02,1.4204626966913692,1.2358115611720035,1.6000733597797838
