window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.88107313051883,2.2474703473064372,9.287089433859789
2,3,9,2020-03-08,4.549386594937911,2.2539964617058907,7.838591010048387
3,4,10,2020-03-09,3.688337618571084,2.0256905178194824,6.205243052914712
4,5,11,2020-03-10,2.4864434906985196,1.3913347148054565,4.025250509391859
5,6,12,2020-03-11,2.6658618568605057,1.6967833824023386,3.8686568579249476
6,7,13,2020-03-12,2.710587676319208,1.8621829060032562,3.784474762775326
7,8,14,2020-03-13,3.001128962460811,2.1274396093677215,4.138546997176241
8,9,15,2020-03-14,3.453592777215658,2.4178392722938287,4.680468765079586
9,10,16,2020-03-15,3.7495133425945957,2.5198992072532764,5.358994833640039
10,11,17,2020-03-16,3.5835857224481735,2.3489532867909855,5.199852204229818
11,12,18,2020-03-17,3.5453124971951597,2.344960727110541,5.127679116033201
12,13,19,2020-03-18,3.598973014586353,2.409717544354053,5.17297370123731
13,14,20,2020-03-19,3.1696101341973613,2.0436918820487033,4.4787779837681825
14,15,21,2020-03-20,2.896575819772416,1.9866494115301858,4.077365187486567
15,16,22,2020-03-21,2.6693630702456037,1.8865388029755055,3.6129256150093547
16,17,23,2020-03-22,2.4809310217450022,1.7937423383691897,3.365865959778989
17,18,24,2020-03-23,2.5052079292075797,1.903128225815128,3.2309971676268923
18,19,25,2020-03-24,2.204215013385701,1.7095645888589486,2.823567519040291
19,20,26,2020-03-25,2.1859795330358,1.7397717683673881,2.8165892521211964
20,21,27,2020-03-26,2.120047413079644,1.647036782456946,2.603789611258776
21,22,28,2020-03-27,2.0428278085929197,1.6472525415284234,2.518728174290133
22,23,29,2020-03-28,2.0718997986200187,1.6729606475208876,2.512727226405705
23,24,30,2020-03-29,1.9436112517916468,1.5680188962453476,2.3468802768883714
24,25,31,2020-03-30,1.6388429756014866,1.3456993205760575,1.9408223485486258
25,26,32,2020-03-31,1.66240215061719,1.413840124107936,1.9141120132921803
26,27,33,2020-04-01,1.520683120135226,1.344586467250886,1.7532646198225246
27,28,34,2020-04-02,1.4274275902340956,1.2478986087786292,1.5849245077003216
28,29,35,2020-04-03,1.3291066146168076,1.1989661944538892,1.4779565032065936
29,30,36,2020-04-04,1.1729423325894666,1.067557548942126,1.2710975131207627
