window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.969960419261785,2.2325148146850124,9.30974623336093
2,3,9,2020-03-08,4.529966744850219,2.142421066728375,7.763384181205919
3,4,10,2020-03-09,3.630253886413598,2.0182272927046516,6.079719703983046
4,5,11,2020-03-10,2.5457243916702312,1.4251130905033653,4.008457061095859
5,6,12,2020-03-11,2.6499089252152297,1.7131910491294178,3.9785664533650493
6,7,13,2020-03-12,2.712224754973111,1.828312708673256,3.804162892703285
7,8,14,2020-03-13,3.038541046948189,2.114415756585851,4.1710800289083965
8,9,15,2020-03-14,3.514545298306248,2.4560245773062075,4.836355226630399
9,10,16,2020-03-15,3.7745333221249506,2.492652307683095,5.267317199757895
10,11,17,2020-03-16,3.654282962941961,2.3190742166916314,5.207388227680022
11,12,18,2020-03-17,3.533323578362187,2.358728685629948,5.052522223847889
12,13,19,2020-03-18,3.6303007117635495,2.407391084763522,5.190730625248617
13,14,20,2020-03-19,3.1477596963000987,2.153510714639541,4.534010685493389
14,15,21,2020-03-20,2.8994319702896156,1.9858292909858666,4.144190430435642
15,16,22,2020-03-21,2.6789385715258245,1.9330861346784107,3.738099039184104
16,17,23,2020-03-22,2.5152919428650757,1.806896195080441,3.378648108500631
17,18,24,2020-03-23,2.5170585931080796,1.85721888784203,3.2607520614277545
18,19,25,2020-03-24,2.207945143618378,1.6649050798208764,2.7666710678690096
19,20,26,2020-03-25,2.169914564662653,1.6952357083112883,2.7457055851465397
20,21,27,2020-03-26,2.1027619317685575,1.6629134612086733,2.5985245345970522
21,22,28,2020-03-27,2.05030558412801,1.6338817488057609,2.550238720417939
22,23,29,2020-03-28,2.0678776539954935,1.6744261214690523,2.5178849359012165
23,24,30,2020-03-29,1.9357828759124946,1.5743503642028147,2.344335703083828
24,25,31,2020-03-30,1.6354605509578706,1.3594512572706592,1.9563648088617305
25,26,32,2020-03-31,1.6573353804652595,1.4113397956074747,1.9430825067521442
26,27,33,2020-04-01,1.5180700187080083,1.3291834976774115,1.7180724880355518
27,28,34,2020-04-02,1.4261307858617402,1.256756204265448,1.6039558926238688
28,29,35,2020-04-03,1.3298810425252237,1.195007738653293,1.4680940328848129
29,30,36,2020-04-04,1.1751613663204847,1.077770718308881,1.274760293284829
30,31,37,2020-04-05,1.1005419468346003,1.0319135027757431,1.1768135944767055
31,32,38,2020-04-06,1.064505880512241,1.011706737163498,1.1184478712006896
32,33,39,2020-04-07,0.9795983763193938,0.9388367682507878,1.0203743801955527
33,34,40,2020-04-08,0.9479804145922366,0.910587375864981,0.9856633576755915
34,35,41,2020-04-09,0.9581105999746257,0.9174742273655432,1.0001860770462636
35,36,42,2020-04-10,1.0961330033213144,1.0527777566860255,1.138404410231353
36,37,43,2020-04-11,1.0704629209766723,1.040850049956627,1.101911157808718
37,38,44,2020-04-12,1.025822283869708,0.998109608507711,1.0553760228329665
38,39,45,2020-04-13,0.9959323741714011,0.9686259338794372,1.0265287128163496
39,40,46,2020-04-14,0.9537981793370098,0.9275880752513521,0.9807979269947413
40,41,47,2020-04-15,0.9452541347592198,0.9160967141087509,0.9736258506709377
41,42,48,2020-04-16,0.94026195602041,0.9103026476713317,0.9723737251292871
42,43,49,2020-04-17,0.6911992190027867,0.664973219454196,0.7175823455425553
43,44,50,2020-04-18,0.7428697304470773,0.6990146681359677,0.7854845250792605
44,45,51,2020-04-19,0.7674468599046309,0.7093493005415212,0.8313632533982261
45,46,52,2020-04-20,0.8810854208171104,0.8146086741206674,0.9499483900799117
46,47,53,2020-04-21,0.9196042433147031,0.863595486779191,0.9786884515795286
47,48,54,2020-04-22,0.9410291021345532,0.8951071805528578,0.9878576023941296
48,49,55,2020-04-23,0.8645991926210477,0.8302012609929691,0.9000519392731549
49,50,56,2020-04-24,0.9489282071957302,0.9097798781518094,0.9844006538399912
50,51,57,2020-04-25,0.9505592761285694,0.9156904988963298,0.9869232714882569
51,52,58,2020-04-26,0.9511115354116744,0.9160579819013565,0.9857700592092911
52,53,59,2020-04-27,0.8304131627915227,0.8017188296069021,0.8604218681816522
53,54,60,2020-04-28,0.7888501994903336,0.7542500775355584,0.8223679409567732
54,55,61,2020-04-29,0.6992313659568725,0.6595608196392505,0.7418569505669477
55,56,62,2020-04-30,0.7880989914093215,0.7354286259424088,0.8520562131748983
56,57,63,2020-05-01,0.6988444815765098,0.6474395494400698,0.7523674645235852
57,58,64,2020-05-02,0.5886210324337564,0.5416032594695784,0.6376257948483238
58,59,65,2020-05-03,0.5010134220317168,0.4517531070779251,0.5548914266869358
59,60,66,2020-05-04,0.5834460510897576,0.5161157564716982,0.6606190370862172
60,61,67,2020-05-05,0.8047022169633724,0.696804982725324,0.9207826648927799
61,62,68,2020-05-06,1.0476505195801726,0.9364917222539758,1.172405354230161
62,63,69,2020-05-07,1.0864933895900157,1.0015025361907832,1.1776090077114916
63,64,70,2020-05-08,1.1521971747110955,1.0652405697896594,1.2403093947025605
64,65,71,2020-05-09,1.1584963671188566,1.0607009578968893,1.261963758885977
65,66,72,2020-05-10,1.1291237348240095,1.043451998133715,1.218149659160724
66,67,73,2020-05-11,1.0902355824876806,1.018522220152339,1.1663139953501425
67,68,74,2020-05-12,0.8695479962504059,0.8168101630200133,0.9201513169020773
68,69,75,2020-05-13,0.7116838387261999,0.6776107217081426,0.7485102337169912
69,70,76,2020-05-14,0.6045992950148091,0.5597073627699227,0.6491599946821556
